iter	Passed	Remaining
650	5526	2962
651	5531	2952
652	5537	2942
653	5543	2932
654	5550	2923
655	5558	2914
656	5564	2905
657	5573	2896
658	5579	2887
659	5589	2879
660	5597	2870
661	5605	2862
662	5612	2852
663	5619	2843
664	5625	2833
665	5633	2825
666	5640	2815
667	5648	2807
668	5654	2797
669	5660	2788
670	5667	2778
671	5673	2769
672	5679	2759
673	5685	2749
674	5691	2740
675	5697	2730
676	5703	2721
677	5712	2713
678	5718	2703
679	5724	2694
680	5732	2685
681	5739	2676
682	5747	2667
683	5754	2658
684	5763	2650
685	5770	2641
686	5776	2631
687	5783	2622
688	5792	2614
689	5804	2607
690	5813	2599
691	5820	2590
692	5828	2582
693	5835	2572
694	5844	2564
695	5851	2555
696	5860	2547
697	5866	2538
698	5874	2529
699	5881	2520
700	5890	2512
701	5896	2503
702	5903	2494
703	5909	2484
704	5916	2475
705	5925	2467
706	5931	2458
707	5939	2449
708	5948	2441
709	5959	2434
710	5971	2427
711	5991	2423
712	6004	2416
713	6013	2408
714	6031	2404
715	6040	2395
716	6048	2387
717	6056	2378
718	6063	2369
719	6071	2361
720	6077	2351
721	6084	2342
722	6091	2333
723	6101	2325
724	6108	2316
725	6118	2309
726	6124	2299
727	6133	2291
728	6140	2282
729	6148	2273
730	6154	2264
731	6160	2255
732	6166	2246
733	6173	2237
734	6181	2228
735	6188	2219
736	6197	2211
737	6204	2202
738	6213	2194
739	6221	2185
740	6229	2177
741	6237	2168
742	6246	2160
743	6252	2151
744	6261	2143
745	6268	2134
746	6276	2125
747	6284	2117
748	6290	2108
749	6297	2099
750	6303	2090
751	6310	2081
752	6316	2072
753	6324	2063
754	6332	2054
755	6340	2046
756	6349	2038
757	6358	2030
758	6365	2021
759	6373	2012
760	6380	2003
761	6395	1997
762	6404	1989
763	6411	1980
764	6422	1972
765	6433	1965
766	6442	1957
767	6451	1948
768	6458	1940
769	6465	1931
770	6472	1922
771	6478	1913
772	6485	1904
773	6491	1895
774	6498	1886
775	6504	1877
776	6512	1869
777	6519	1860
778	6525	1851
779	6535	1843
780	6545	1835
781	6552	1826
782	6561	1818
783	6570	1810
784	6581	1802
785	6592	1794
786	6601	1786
787	6609	1778
788	6617	1769
789	6630	1762
790	6640	1754
791	6649	1746
792	6658	1738
793	6667	1729
794	6676	1721
795	6683	1712
796	6690	1704
797	6697	1695
798	6705	1686
799	6714	1678
800	6722	1670
801	6730	1661
802	6738	1653
803	6745	1644
804	6752	1635
805	6759	1626
806	6765	1618
807	6773	1609
808	6779	1600
809	6787	1592
810	6794	1583
811	6802	1574
812	6809	1566
813	6819	1558
814	6826	1549
815	6834	1541
816	6842	1532
817	6850	1524
818	6856	1515
819	6864	1506
820	6870	1498
821	6876	1489
822	6882	1480
823	6888	1471
824	6895	1462
825	6901	1453
826	6907	1445
827	6915	1436
828	6922	1427
829	6929	1419
830	6937	1410
831	6945	1402
832	6951	1393
833	6956	1384
834	6963	1375
835	6969	1367
836	6976	1358
837	6982	1349
838	6987	1340
839	6995	1332
840	7001	1323
841	7007	1314
842	7013	1306
843	7021	1297
844	7030	1289
845	7036	1280
846	7042	1272
847	7048	1263
848	7055	1254
849	7061	1246
850	7069	1237
851	7076	1229
852	7081	1220
853	7089	1212
854	7096	1203
855	7104	1195
856	7109	1186
857	7115	1177
858	7123	1169
859	7129	1160
860	7136	1152
861	7144	1143
862	7152	1135
863	7159	1127
864	7167	1118
865	7173	1109
866	7179	1101
867	7186	1092
868	7193	1084
869	7201	1076
870	7208	1067
871	7217	1059
872	7227	1051
873	7234	1042
874	7240	1034
875	7249	1026
876	7256	1017
877	7265	1009
878	7274	1001
879	7286	993
880	7292	984
881	7301	976
882	7310	968
883	7317	960
884	7325	951
885	7334	943
886	7344	935
887	7350	927
888	7356	918
889	7365	910
890	7372	901
891	7380	893
892	7385	884
893	7392	876
894	7400	868
895	7410	860
896	7418	851
897	7425	843
898	7432	834
899	7440	826
900	7449	818
901	7457	810
902	7466	802
903	7477	794
904	7487	785
905	7495	777
906	7503	769
907	7513	761
908	7520	752
909	7528	744
910	7537	736
911	7543	727
912	7553	719
913	7561	711
914	7570	703
915	7577	694
916	7586	686
917	7593	678
918	7600	669
919	7607	661
920	7621	653
921	7634	645
922	7651	638
923	7661	630
924	7671	621
925	7680	613
926	7689	605
927	7699	597
928	7707	589
929	7720	581
930	7732	573
931	7740	564
932	7750	556
933	7759	548
934	7767	539
935	7776	531
936	7783	523
937	7793	515
938	7802	506
939	7813	498
940	7826	490
941	7833	482
942	7845	474
943	7854	465
944	7863	457
945	7875	449
946	7883	441
947	7893	432
948	7904	424
949	7913	416
950	7923	408
951	7931	399
952	7940	391
953	7949	383
954	7957	374
955	7965	366
956	7974	358
957	7985	350
958	7994	341
959	8007	333
960	8021	325
961	8032	317
962	8047	309
963	8055	300
964	8066	292
965	8073	284
966	8081	275
967	8090	267
